,Date,Fire
236,2021-02-25,1
237,2010-06-18,1
238,2021-07-02,1
239,2014-03-17,1
240,2016-08-09,1
241,2012-08-11,1
242,2012-05-28,1
243,2011-05-04,1
244,2014-11-17,1
245,2018-07-29,1
246,2018-08-07,1
247,2017-10-29,1
248,2014-05-15,1
249,2014-08-03,1
250,2016-10-12,1
251,2018-10-12,1
252,2021-08-05,1
253,2018-08-18,1
254,2020-09-29,1
255,2018-09-01,1
256,2012-04-23,1
257,2010-08-19,1
258,2012-09-03,1
259,2018-02-15,1
260,2021-08-27,1
261,2018-04-24,1
262,2020-02-13,1
263,2020-11-05,1
264,2012-08-29,1
265,2013-10-27,1
266,2012-08-22,1
267,2014-01-30,1
268,2012-10-30,1
269,2018-08-12,1
270,2021-06-01,1
271,2021-08-09,1
272,2021-08-28,1
273,2016-05-11,1
274,2010-11-06,1
275,2012-09-01,1
276,2021-02-27,1
277,2010-03-19,1
278,2010-03-24,1
279,2011-11-11,1
280,2018-09-09,1
281,2020-02-21,1
282,2016-04-08,1
283,2010-09-16,1
284,2012-08-28,1
285,2014-09-10,1
286,2018-08-31,1
287,2017-09-15,1
288,2018-07-30,1
289,2014-08-02,1
290,2013-03-16,1
291,2018-07-24,1
292,2014-01-10,1
293,2011-10-19,1
294,2018-07-25,1
295,2018-08-14,1
296,2021-08-07,1
297,2012-08-31,1
298,2014-08-09,1
299,2015-08-07,1
300,2012-08-14,1
301,2012-08-30,1
302,2019-05-25,1
303,2010-05-06,1
304,2020-02-28,1
305,2021-10-11,1
306,2015-04-02,1
307,2016-12-01,1
308,2021-08-15,1
309,2018-04-23,1
310,2017-12-20,1
311,2012-09-11,1
312,2020-11-19,1
313,2021-04-07,1
314,2019-12-30,1
315,2018-08-23,1
316,2021-09-24,1
317,2021-09-15,1
318,2011-10-18,1
319,2018-10-13,1
320,2012-09-05,1
321,2018-07-28,1
322,2012-08-19,1
323,2014-07-31,1
